Group;Participant;Sound;Language;Time;Alondra;Inhibition;Compactness;Precision_L2
Novel;316;e;L1;T1;213;-0,1526;4482.496413;156.3424094
Novel;317;e;L1;T1;225;-0,128;6415.671728;29.78674348
Novel;318;e;L1;T1;185;0;7747.446508;47.18715541
Novel;320;e;L1;T1;202;0;8183.295295;36.90377925
Novel;321;e;L1;T1;212;-0,0635;6246.058163;76.98937596
Novel;322;e;L1;T1;206;-0,4812;4963.116399;92.82733872
Novel;325;e;L1;T1;196;-0,082;6979.2321;85.00609547
Novel;326;e;L1;T1;234;0;7010.205123;135.8563329
Novel;328;e;L1;T1;232;-0,1358;8248.661881;24.7735953
Novel;329;e;L1;T1;274;0;5559.521468;11.63067205
Auditory;101;i;L1;T1;267;-0,0648;10907.47668;43.48207134
Auditory;102;i;L1;T1;253;0;4145.625812;143.2045427
Auditory;103;i;L1;T1;191;0;4871.751033;44.21602206
Auditory;104;i;L1;T1;237;0;3044.710769;98.90285879
Auditory;105;i;L1;T1;218;0;3314.610044;74.16703822
Auditory;107;i;L1;T1;255;-0,315;3083.717517;100.4653091
Auditory;108;i;L1;T1;242;0;3713.313632;174.8094036
Auditory;109;i;L1;T1;175;0;5920.295422;348.0111407
Auditory;110;i;L1;T1;236;-0,2518;4678.433196;14.74067555
Auditory;111;i;L1;T1;186;0;8563.9105;96.55886756
Auditory;112;i;L1;T1;180;0;3772.406591;142.6363673
Auditory;113;i;L1;T1;230;-0,0941;1233.173633;546.756153
Auditory;114;i;L1;T1;250;-0,0115;2276.863948;87.42411851
Auditory;115;i;L1;T1;194;-0,2189;2496.993937;249.883081
Auditory;116;i;L1;T1;197;-0,345;3148.485674;188.9346588
Auditory;117;i;L1;T1;247;0;1176.46199;197.5663177
Auditory;118;i;L1;T1;193;-0,4282;2904.698864;25.73199703
Auditory;119;i;L1;T1;183;-0,1424;3532.615239;62.73655649
Auditory;120;i;L1;T1;229;-0,1764;4580.232411;179.3582861
Auditory;121;i;L1;T1;216;0;4523.801504;100.5586727
Auditory;122;i;L1;T1;220;-0,1658;13567.71062;53.50806563
Auditory;123;i;L1;T1;252;-0,1044;5384.305048;115.7036039
Auditory;124;i;L1;T1;226;-0,1132;7809.459354;38.00562808
Auditory;125;i;L1;T1;263;0;3010.084937;528.2855056
Auditory;126;i;L1;T1;138;-0,7027;5429.507775;40.3247956
Conflicting;201;i;L1;T1;187;-0,1641;2665.351121;71.69810876
Conflicting;202;i;L1;T1;230;0;4264.563039;173.9209816
Conflicting;203;i;L1;T1;212;-1,2584;2045.769706;149.7305345
Conflicting;204;i;L1;T1;278;0;920.8359673;14.22711432
Conflicting;205;i;L1;T1;234;-0,056;4663.625028;188.4073686
Conflicting;206;i;L1;T1;234;-0,1904;10524.45984;561.7535237
Conflicting;207;i;L1;T1;208;-0,0683;7109.378967;480.5450009
Conflicting;208;i;L1;T1;200;-1,1383;6108.719925;5.79260806
Conflicting;209;i;L1;T1;209;0;4258.938301;168.1178514
Conflicting;210;i;L1;T1;210;0;3160.258335;36.97037559
Conflicting;211;i;L1;T1;208;0;7578.119541;108.1057787
Conflicting;212;i;L1;T1;277;-0,0814;3072.301082;38.31344022
Conflicting;213;i;L1;T1;219;-0,0131;7556.723831;340.3732066
Conflicting;214;i;L1;T1;251;-0,1848;2009.553524;29.89638217
Conflicting;215;i;L1;T1;188;-0,0196;1582.012324;28.77586663
Conflicting;217;i;L1;T1;232;-0,0401;5040.617018;260.4713442
Conflicting;218;i;L1;T1;234;0;2138.949218;233.8812518
Conflicting;219;i;L1;T1;172;-0,1621;3242.384972;317.1360199
Conflicting;221;i;L1;T1;204;0;3807.295484;41.63536037
Conflicting;222;i;L1;T1;197;-0,062;3199.316674;93.74519023
Conflicting;223;i;L1;T1;270;0;3666.930062;97.22313688
Conflicting;225;i;L1;T1;274;-0,0467;1642.417677;44.83518495
Conflicting;227;i;L1;T1;245;-0,314;2683.982661;396.6254646
Conflicting;228;i;L1;T1;271;0;2466.820273;39.44398479
Conflicting;229;i;L1;T1;190;0;1510.599255;186.6427065
Novel;301;i;L1;T1;224;-0,9083;2409.524263;51.39393225
Novel;302;i;L1;T1;;0;2459.249457;49.39670554
Novel;303;i;L1;T1;188;0;8033.677166;259.8716375
Novel;304;i;L1;T1;259;0;1971.83304;23.84701631
Novel;305;i;L1;T1;274;0;2129.61334;270.1908286
Novel;306;i;L1;T1;188;-0,5168;8860.978346;73.84171788
Novel;307;i;L1;T1;195;-0,199;9353.226593;139.430019
Novel;308;i;L1;T1;212;0;3361.063182;74.98204223
Novel;309;i;L1;T1;206;0;2372.245224;264.8280838
Novel;310;i;L1;T1;191;-0,1579;2349.359228;101.167294
Novel;311;i;L1;T1;231;-0,096;4938.199771;75.24971118
Novel;312;i;L1;T1;269;-0,0322;7132.402098;151.3814588
Novel;313;i;L1;T1;273;0;3491.70133;172.1349187
Novel;314;i;L1;T1;178;-0,1345;3421.889864;84.92310719
Novel;315;i;L1;T1;235;-0,0499;2028.556222;154.0135134
Novel;316;i;L1;T1;213;-0,1526;2369.329842;38.16417288
Novel;317;i;L1;T1;225;-0,128;6085.394375;1242.78019
Novel;318;i;L1;T1;185;0;6408.22688;47.03632967
Novel;320;i;L1;T1;202;0;4826.033701;174.7684585
Novel;321;i;L1;T1;212;-0,0635;4104.229595;68.24936499
Novel;322;i;L1;T1;206;-0,4812;5650.345452;90.33495628
Novel;325;i;L1;T1;196;-0,082;1571.538958;101.747305
Novel;326;i;L1;T1;234;0;2398.040838;41.96541753
Novel;328;i;L1;T1;232;-0,1358;1132.211633;14.149775
Novel;329;i;L1;T1;274;0;4900.92613;100.4405678
Auditory;101;u;L1;T1;267;-0,0648;1423.044845;43.48207134
Auditory;102;u;L1;T1;253;0;5985.093973;143.2045427
Auditory;103;u;L1;T1;191;0;3505.230783;44.21602206
Auditory;104;u;L1;T1;237;0;1027.886227;98.90285879
Auditory;105;u;L1;T1;218;0;1375.652502;74.16703822
Auditory;107;u;L1;T1;255;-0,315;2338.887655;100.4653091
Auditory;108;u;L1;T1;242;0;3964.462024;174.8094036
Auditory;109;u;L1;T1;175;0;4981.902575;348.0111407
Auditory;110;u;L1;T1;236;-0,2518;15207.17051;14.74067555
Auditory;111;u;L1;T1;186;0;5768.448936;96.55886756
Auditory;112;u;L1;T1;180;0;2410.463692;142.6363673
Auditory;113;u;L1;T1;230;-0,0941;3349.468578;546.756153
Auditory;114;u;L1;T1;250;-0,0115;662.165647;87.42411851
Auditory;115;u;L1;T1;194;-0,2189;2896.629367;249.883081
Auditory;116;u;L1;T1;197;-0,345;3366.305159;188.9346588
Auditory;117;u;L1;T1;247;0;4025.204197;197.5663177
Auditory;118;u;L1;T1;193;-0,4282;2736.830912;25.73199703
Auditory;119;u;L1;T1;183;-0,1424;1021.891595;62.73655649
Auditory;120;u;L1;T1;229;-0,1764;1238.096744;179.3582861
Auditory;121;u;L1;T1;216;0;2027.250574;100.5586727
Auditory;122;u;L1;T1;220;-0,1658;2166.712445;53.50806563
Auditory;123;u;L1;T1;252;-0,1044;1648.970236;115.7036039
Auditory;124;u;L1;T1;226;-0,1132;7164.115651;38.00562808
Auditory;125;u;L1;T1;263;0;1485.287478;528.2855056
